date,mean autumn bottom temperature
1950,4.56
1951,4.48
1952,4.41
1953,4.52
1954,4.48
1956,4.26
1961,4.42
1968,4.56
1969,4.42
1970,4.55
1974,4.57
1976,4.43
1977,4.5
1978,4.54
1979,4.45
1980,4.5
1981,4.48
1982,4.47
1983,4.5
1984,4.52
1985,4.45
1987,4.38
1988,4.33
1989,4.39
1990,4.4
1991,4.49
1992,4.56
1993,4.54
1994,4.7
1995,4.73
1996,4.79
1997,4.72
1998,4.7
2002,4.78
2003,4.79
2004,4.76
2005,4.66
2006,4.43
2007,4.51
2008,4.56
2009,4.64
2010,4.66
2012,4.62
2013,4.63
2014,4.64
2015,4.69
2016,4.76
2017,4.85
2018,4.85
2019,4.82
2020,4.78
2021,4.92
2022,5.02
2023,5.12
