date,mean autumn Secchi depth
1950,3.84
1951,3.8
1952,3.99
1953,8.08
1954,4.47
1956,4.53
1968,2.85
1969,6.05
1970,5.45
1974,6.4
1976,5.2
1977,2.5
1978,5.39
1979,7.99
1980,4.05
1981,4.03
1982,5.35
1983,4.62
1984,6.0
1985,5.43
1987,3.62
1988,4.74
1989,6.54
1990,4.98
1991,3.09
1992,4.38
1993,3.67
1994,3.71
1995,3.78
1996,2.6
1997,2.86
1998,3.82
2000,4.54
2002,3.36
2003,4.27
2004,5.79
2005,3.94
2006,4.61
2007,6.08
2008,5.24
2009,4.64
2010,4.98
2012,4.47
2013,5.4
2014,4.46
2015,4.42
2017,3.93
2018,4.38
2019,4.62
2020,5.53
2021,5.1
2022,6.01
2023,4.44
