date,mean spring Schmidt stability
1951,490.81
1952,1168.96
1953,891.57
1960,2194.86
1961,2659.12
1969,924.02
1975,1013.76
1976,1426.79
1977,378.2
1978,628.06
1979,502.79
1980,423.41
1981,596.45
1982,735.74
1983,555.66
1984,864.21
1985,257.82
1986,113.1
1987,1167.71
1988,898.38
1989,1152.5
1990,1263.61
1991,582.61
1992,865.08
1994,1710.73
1995,1119.14
1996,333.48
1997,1149.47
1998,1612.94
1999,634.46
2001,1962.05
2004,1013.5
2005,1145.37
2006,491.43
2007,2515.01
2008,775.49
2009,796.53
2010,854.86
2011,1680.58
2012,803.92
2013,585.34
2014,1928.52
2015,1546.99
2016,1839.05
2017,1449.16
2018,1183.73
2019,1160.8
2020,2824.84
2021,1237.33
2022,2043.54
2023,1173.98
