date,minimum bottom oxygen concentration
1951,0.3
1953,0.33
1976,0.1
1977,0.1
1978,0.2
1979,0.1
1980,0.1
1981,0.1
1983,0.1
1984,0.1
1985,0.1
1988,0.1
1989,0.1
1990,0.1
1991,0.0
1992,0.0
1996,0.07
2004,0.27
2005,0.33
2006,0.53
2007,0.13
2008,0.1
2009,0.0
2010,0.0
2013,0.3
2014,0.27
2015,0.3
2016,0.3
2017,0.27
2018,0.3
2019,0.1
2020,0.1
2021,0.1
2022,0.1
2023,0.1
