date,mean summer Secchi depth
1950,4.62
1951,6.71
1952,4.66
1953,4.32
1975,5.35
1976,4.62
1977,3.61
1978,5.3
1979,4.76
1980,6.01
1981,5.91
1982,5.74
1983,4.73
1984,3.56
1985,3.99
1986,3.26
1987,2.62
1988,3.52
1989,5.7
1990,4.18
1991,5.76
1992,4.37
1993,3.05
1994,3.12
1995,1.6
1996,2.5
1997,4.78
1998,4.02
1999,2.92
2000,4.91
2001,4.0
2002,6.13
2003,3.59
2004,4.82
2005,6.03
2006,3.14
2007,2.43
2008,2.72
2009,3.09
2010,6.35
2011,4.59
2012,4.78
2013,7.03
2014,3.44
2015,4.18
2016,3.69
2017,3.01
2018,4.14
2019,8.01
2020,4.44
2021,6.37
2022,4.89
2023,4.84
