date,mean annual Secchi depth
1953,6.47
1976,6.3
1977,4.29
1978,6.4
1979,5.99
1980,5.72
1981,5.56
1983,5.78
1984,5.71
1985,6.26
1988,5.07
1989,5.45
1990,4.61
1991,4.53
1992,4.65
1996,3.73
2004,5.85
2005,6.2
2006,4.41
2007,4.02
2008,4.96
2009,5.88
2010,6.49
2012,5.7
2013,7.39
2014,4.94
2015,4.57
2017,6.03
2018,4.88
2019,6.05
2020,6.11
2021,6.97
2022,6.85
2023,4.97
