date,minimum Secchi depth
1953,3.4
1976,1.5
1977,2.1
1978,1.2
1979,0.2
1980,2.1
1981,1.4
1983,2.9
1984,2.2
1985,2.2
1988,2.2
1989,2.4
1990,2.9
1991,1.5
1992,2.3
1996,1.4
2004,1.3
2005,2.3
2006,1.5
2007,1.6
2008,1.6
2009,1.1
2010,1.9
2012,3.0
2013,2.2
2014,1.7
2015,1.9
2017,2.4
2018,1.9
2019,3.5
2020,2.5
2021,2.1
2022,2.6
2023,2.7
