date,mean autumn epilimnion 5-10 m oxygen concentration
1950,10.2
1951,11.27
1952,10.7
1953,9.99
1954,11.32
1956,8.54
1961,6.14
1968,6.79
1969,5.95
1970,7.48
1974,8.37
1976,9.78
1977,9.96
1978,8.92
1979,7.85
1980,9.97
1981,8.3
1982,8.0
1983,8.54
1984,9.13
1985,7.42
1987,7.35
1988,7.77
1989,9.04
1990,9.11
1991,9.26
1992,9.45
1993,9.28
1994,9.59
1995,10.14
1996,10.02
1997,9.36
1998,9.57
2000,8.85
2002,9.71
2003,8.78
2004,8.64
2005,9.23
2006,9.1
2007,8.8
2008,8.0
2009,8.2
2010,8.6
2012,9.3
2013,9.81
2014,9.29
2015,9.65
2016,8.1
2017,9.33
2018,9.47
2019,9.55
2020,9.13
2021,9.08
2022,9.65
2023,9.51
