date,mean spring surface oxygen concentration
1951,10.9
1952,12.92
1953,11.36
1960,13.01
1961,11.61
1969,10.34
1975,12.23
1976,17.11
1977,10.97
1978,14.11
1979,11.44
1980,13.09
1981,12.19
1982,13.03
1983,12.87
1984,12.17
1985,10.94
1986,11.32
1987,23.8
1988,12.64
1989,13.8
1990,12.22
1991,13.56
1992,11.06
1994,12.8
1995,13.6
1996,12.44
1997,13.01
1998,13.39
1999,11.96
2000,11.03
2001,10.4
2004,14.15
2005,12.11
2006,14.35
2007,12.62
2008,11.64
2009,10.65
2010,11.9
2011,12.44
2012,11.49
2013,11.18
2014,12.64
2015,14.66
2016,11.5
2017,9.82
2018,11.03
2019,10.85
2020,11.88
2021,13.54
2022,13.77
2023,11.24
