date,mean summer surface oxygen concentration
1950,8.83
1951,10.64
1952,10.66
1953,10.81
1975,15.16
1976,12.2
1977,12.36
1978,12.6
1979,11.86
1980,15.37
1981,10.31
1982,9.72
1983,11.68
1984,10.47
1985,11.11
1986,12.49
1987,11.34
1988,11.34
1989,11.57
1990,11.85
1991,10.25
1992,10.64
1993,9.85
1994,10.25
1995,10.97
1996,10.35
1997,10.36
1998,10.11
1999,10.54
2000,10.82
2001,12.01
2002,11.71
2003,9.61
2004,10.78
2005,9.97
2006,9.86
2007,10.68
2008,10.22
2009,10.41
2010,9.29
2011,8.55
2013,9.51
2014,9.43
2015,9.21
2016,10.32
2017,9.17
2018,8.85
2019,9.49
2020,9.27
2021,10.1
2022,8.8
2023,9.02
