date,mean spring bottom temperature
1951,4.4
1952,4.4
1953,4.42
1960,4.4
1961,4.39
1969,4.5
1975,4.44
1976,4.41
1977,4.4
1978,4.5
1979,4.4
1980,4.4
1981,4.4
1982,4.39
1983,4.48
1984,4.5
1985,4.51
1986,4.39
1987,4.3
1988,4.35
1989,4.33
1990,4.37
1991,4.4
1992,4.49
1994,4.7
1995,4.7
1996,4.8
1997,4.7
1998,4.7
1999,4.61
2001,4.55
2004,4.74
2005,4.72
2006,4.28
2007,4.37
2008,4.52
2009,4.59
2010,4.64
2011,4.62
2012,4.63
2013,4.58
2014,4.6
2015,4.65
2016,4.71
2017,4.81
2018,4.84
2019,4.79
2020,4.86
2021,4.84
2022,4.98
2023,5.08
