date,mean summer epilimnion 5-10 m oxygen concentration
1950,11.4
1951,11.23
1952,11.49
1953,12.3
1975,9.11
1976,7.98
1977,8.59
1978,8.28
1979,8.46
1980,9.09
1981,8.67
1982,8.52
1983,7.94
1984,9.51
1985,8.09
1986,7.89
1987,7.63
1988,6.57
1989,8.71
1990,8.52
1991,8.23
1992,8.08
1993,7.64
1994,11.16
1995,10.69
1996,8.3
1997,9.1
1998,9.81
1999,8.3
2000,8.59
2001,9.71
2002,8.77
2003,7.73
2004,6.89
2005,9.3
2006,7.69
2007,9.25
2008,7.29
2009,6.19
2010,8.66
2011,8.2
2013,9.78
2014,10.05
2015,9.72
2016,9.35
2017,8.8
2018,10.38
2019,12.18
2020,9.58
2021,10.46
2022,10.38
2023,10.64
