date,mean late summer Secchi depth
1950,3.21
1951,5.29
1952,3.03
1953,3.87
1968,2.44
1969,4.66
1976,6.28
1977,2.32
1978,3.98
1979,1.93
1980,4.95
1981,3.92
1982,4.42
1983,3.37
1984,3.3
1985,3.78
1986,3.61
1987,2.34
1988,2.41
1989,4.84
1990,3.38
1991,3.07
1992,2.44
1993,3.51
1994,2.58
1995,2.97
1996,2.5
1997,3.26
1998,3.86
1999,3.62
2001,3.2
2002,3.98
2003,4.0
2004,3.45
2005,5.12
2006,3.47
2007,2.6
2008,1.74
2009,2.26
2010,3.24
2012,3.27
2013,2.83
2014,3.1
2015,3.47
2016,2.58
2017,2.93
2018,4.23
2019,5.12
2020,3.2
2021,3.99
2022,4.92
2023,3.12
