date,mean spring bottom oxygen concentration
1951,0.47
1952,0.93
1953,1.28
1960,1.48
1961,1.66
1969,0.1
1975,0.42
1976,0.15
1977,0.35
1978,1.44
1979,0.28
1980,0.1
1981,0.11
1982,0.1
1983,0.35
1984,0.14
1985,0.1
1986,0.1
1987,0.6
1988,0.1
1989,0.1
1990,0.1
1991,0.11
1992,0.07
1994,0.02
1995,0.26
1996,0.15
1997,0.16
1998,0.15
1999,0.2
2000,0.88
2001,0.64
2004,0.55
2005,0.58
2006,3.83
2007,0.25
2008,0.3
2009,0.18
2010,0.3
2011,0.12
2012,0.29
2013,0.32
2014,0.3
2015,0.3
2016,0.3
2017,0.3
2018,0.32
2019,0.32
2020,0.3
2021,0.1
2022,0.1
2023,0.1
