date,mean autumn Schmidt stability
1950,7475.81
1951,6914.46
1952,5208.17
1953,6076.73
1954,5848.21
1956,4692.5
1961,8735.12
1968,5868.45
1969,6435.9
1974,6123.29
1976,6142.44
1977,5521.11
1978,5757.65
1979,5975.47
1980,6230.76
1981,5340.03
1982,6744.26
1983,6737.88
1984,6118.71
1985,6533.6
1987,6276.94
1988,6586.79
1989,6520.6
1990,6125.36
1991,6293.94
1992,7269.43
1993,6042.23
1994,7212.08
1995,6326.75
1996,4499.65
1997,6731.27
1998,5212.8
2002,6547.17
2003,5989.46
2004,7286.95
2005,6664.46
2006,7289.18
2007,6382.28
2008,6346.86
2009,6897.08
2010,6455.58
2012,8547.28
2013,8502.53
2014,9359.78
2015,7110.88
2016,7367.29
2017,7961.22
2018,9415.34
2019,9974.75
2020,8174.33
2021,7651.41
2022,9287.43
2023,10874.06
