date,mean summer surface temperature
1950,22.94
1951,21.34
1952,22.48
1953,21.53
1975,22.07
1976,22.68
1977,19.86
1978,19.31
1979,22.53
1980,18.64
1981,17.24
1982,19.7
1983,22.81
1984,19.54
1985,19.79
1986,22.87
1987,19.6
1988,22.78
1989,21.56
1990,21.29
1991,20.52
1992,20.92
1993,18.61
1994,21.86
1995,21.17
1996,21.48
1997,19.15
1998,22.25
1999,19.72
2000,19.17
2001,22.2
2002,21.91
2003,23.06
2004,21.09
2005,21.58
2006,23.95
2007,21.66
2008,20.94
2009,22.42
2010,22.21
2011,19.79
2012,22.5
2013,22.69
2014,21.4
2015,24.38
2016,20.95
2017,22.04
2018,23.95
2019,25.54
2020,21.44
2021,21.85
2022,24.87
2023,22.47
