date,mean winter surface oxygen concentration
1951,9.09
1953,11.78
1975,8.65
1977,8.87
1978,7.75
1979,7.34
1980,8.59
1981,8.42
1983,8.57
1985,9.38
1988,9.02
1989,9.42
1990,8.89
1991,8.58
1992,8.4
1993,9.36
1994,8.56
1996,8.8
1997,8.87
1998,8.88
1999,8.84
2000,8.53
2001,9.09
2003,9.43
2005,8.82
2006,9.83
2007,10.24
2008,9.45
2009,8.38
2010,8.76
2011,7.17
2012,8.4
2013,9.5
2014,9.35
2015,9.18
2016,9.55
2017,8.79
2018,8.55
2019,8.16
2020,9.01
2021,8.26
2022,9.12
2023,9.7
