date,mean autumn surface oxygen concentration
1950,10.17
1951,10.8
1952,11.39
1953,12.85
1954,11.84
1956,9.49
1961,9.43
1968,9.89
1969,10.31
1970,11.0
1974,10.28
1976,10.04
1977,11.3
1978,9.84
1979,7.96
1980,11.46
1981,8.53
1982,9.97
1983,9.19
1984,9.06
1985,8.86
1987,11.2
1988,9.41
1989,9.19
1990,9.16
1991,9.51
1992,9.65
1993,9.46
1994,10.18
1995,10.38
1996,10.33
1997,9.39
1998,9.68
2000,9.03
2002,9.8
2003,9.43
2004,8.62
2005,9.66
2006,9.21
2007,8.85
2008,8.18
2009,8.83
2010,9.06
2012,9.58
2013,9.73
2014,9.2
2015,9.65
2016,9.22
2017,9.12
2018,9.2
2019,9.73
2020,9.49
2021,9.38
2022,9.65
2023,9.59
