date,mean spring epilimnion 0-5 m oxygen concentration
1951,10.81
1952,12.97
1953,11.59
1960,12.82
1961,11.71
1969,10.56
1975,11.97
1976,15.49
1977,10.45
1978,12.61
1979,11.36
1980,12.66
1981,12.05
1982,12.82
1983,12.27
1984,12.11
1985,10.86
1986,10.99
1987,18.0
1988,12.42
1989,12.98
1990,12.08
1991,12.61
1992,10.95
1994,12.92
1995,13.64
1996,12.4
1997,12.93
1998,13.93
1999,11.83
2000,10.99
2001,10.45
2004,13.87
2005,12.03
2006,13.58
2007,13.53
2008,11.38
2009,10.69
2010,11.84
2011,12.45
2012,11.57
2013,11.17
2014,13.34
2015,14.7
2016,11.74
2017,10.02
2018,11.75
2019,10.98
2020,12.17
2021,13.41
2022,13.69
2023,11.14
