date,mean spring epilimnion 5-10 m oxygen concentration
1951,10.52
1952,11.65
1953,11.34
1960,11.4
1961,11.17
1969,10.38
1975,10.88
1976,10.89
1977,9.52
1978,10.27
1979,10.97
1980,11.72
1981,11.13
1982,12.2
1983,10.98
1984,11.18
1985,10.77
1986,10.63
1987,11.0
1988,11.77
1989,11.93
1990,11.16
1991,10.86
1992,10.16
1994,12.21
1995,11.46
1996,11.06
1997,12.02
1998,10.49
1999,10.7
2000,10.71
2001,10.25
2004,11.93
2005,11.77
2006,11.37
2007,12.19
2008,11.03
2009,10.28
2010,11.29
2011,11.12
2012,11.05
2013,10.56
2014,12.37
2015,12.16
2016,11.61
2017,9.91
2018,10.58
2019,10.73
2020,12.26
2021,12.28
2022,13.1
2023,10.71
