date,mean spring Secchi depth
1951,6.22
1952,5.42
1953,5.49
1969,6.32
1975,3.54
1976,3.45
1977,3.83
1978,4.76
1979,4.46
1980,2.31
1981,3.46
1982,3.26
1983,3.12
1984,5.0
1985,5.87
1986,3.59
1987,1.2
1988,3.78
1989,2.66
1990,3.23
1991,2.0
1992,3.67
1994,4.14
1995,2.9
1996,2.94
1997,2.06
1998,1.44
1999,2.24
2000,3.92
2004,2.77
2005,3.98
2006,2.72
2007,2.98
2008,2.69
2009,4.37
2010,4.65
2011,3.55
2012,4.19
2013,6.99
2014,3.83
2015,2.35
2016,3.24
2017,10.19
2018,5.16
2019,6.71
2020,4.09
2021,2.81
2022,3.68
2023,3.69
