date,mean summer bottom temperature
1950,4.44
1951,4.4
1952,4.47
1953,4.42
1975,4.59
1976,4.53
1977,4.5
1978,4.5
1979,4.5
1980,4.45
1981,4.5
1982,4.52
1983,4.56
1984,4.5
1985,4.42
1986,4.38
1987,4.35
1988,4.3
1989,4.4
1990,4.4
1991,4.4
1992,4.51
1993,4.6
1994,4.7
1995,4.7
1996,4.8
1997,4.7
1998,4.61
1999,4.6
2000,4.5
2001,4.59
2002,4.73
2003,4.78
2004,4.74
2005,4.71
2006,4.36
2007,4.39
2008,4.53
2009,4.62
2010,4.65
2011,4.65
2012,4.62
2013,4.59
2014,4.62
2015,4.67
2016,4.73
2017,4.83
2018,4.84
2019,4.79
2020,4.88
2021,4.88
2022,5.01
2023,5.1
