date,mean annual bottom conductivity
1983,293.85
1984,300.15
1985,304.75
1988,295.88
1989,296.47
1990,296.97
1991,297.92
1992,298.5
1996,282.92
2004,288.21
2005,287.37
2006,295.41
2007,302.22
2008,305.65
2009,305.38
2010,303.18
2012,324.19
2013,309.94
2014,301.49
2015,312.56
2016,307.78
2017,312.22
2018,330.15
2019,302.99
2020,305.59
2021,298.34
2022,298.91
2023,299.16
