date,mean early autumn Schmidt stability
1950,10109.38
1951,10518.92
1952,9185.89
1953,8755.86
1956,7349.76
1976,8593.79
1977,8176.82
1978,8609.22
1979,8296.04
1980,9659.38
1981,8153.29
1982,10118.64
1983,10997.98
1984,8539.05
1985,9170.48
1986,8116.91
1987,9553.3
1988,9602.82
1989,9837.14
1990,9935.62
1991,10824.91
1992,11482.15
1993,10124.97
1994,10720.45
1995,7185.78
1996,6537.1
2000,7729.94
2002,9638.55
2003,10418.03
2004,9802.44
2005,8983.38
2006,8523.57
2007,9993.37
2008,10033.47
2009,12028.53
2010,10230.12
2012,11956.51
2013,11738.71
2014,12270.47
2015,10462.22
2016,11638.7
2017,9972.67
2018,14469.33
2019,13781.17
2020,14916.87
2021,12097.5
2022,12925.55
2023,14309.9
