date,mean annual heat content
1951,2074707403.12
1953,1949200511.04
1976,2043671167.79
1977,2159786060.59
1978,2084288758.14
1979,2067193513.24
1980,2029514963.77
1981,1956886903.15
1983,2177631245.63
1984,2080252482.6
1985,1937585659.28
1988,2042492347.04
1989,2100432964.76
1990,2092157339.09
1991,1973356825.23
1992,1989440118.01
1996,2017643626.23
2004,2136994244.98
2005,1983434451.72
2006,1893216451.86
2007,2117439188.9
2008,2165031236.5
2009,2159537746.28
2010,2094487620.33
2012,2134840768.84
2013,2073594306.43
2014,2260732611.25
2015,2220083854.4
2016,2262610852.69
2017,2187235905.52
2018,2265509957.42
2019,2395740783.85
2020,2455396936.75
2021,2352139653.84
2022,2427792773.47
2023,2435116921.76
