date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1969,190.0
1976,174.0
1977,70.0
1983,120.0
1984,134.0
1985,190.0
1986,190.0
1988,54.0
1989,51.0
1990,53.0
1991,97.0
1992,190.0
1993,92.0
1994,124.0
1996,162.0
1997,87.0
1998,74.0
1999,80.0
2000,109.0
2001,50.0
2003,117.0
2004,125.0
2005,190.0
2006,190.0
2007,31.0
2008,54.0
2009,80.0
2010,107.0
2011,92.0
2012,136.0
2013,98.0
2014,51.0
2015,37.0
2016,45.0
2017,99.0
2018,72.0
2019,44.0
2020,43.0
2021,61.0
2022,45.0
2023,32.0
