date,mean summer epilimnion 0-10 m oxygen concentration
1950,10.01
1951,10.93
1952,11.08
1953,11.63
1975,12.67
1976,10.35
1977,10.94
1978,11.24
1979,10.81
1980,11.91
1981,9.6
1982,9.24
1983,10.2
1984,10.14
1985,9.81
1986,10.56
1987,9.59
1988,9.68
1989,10.48
1990,10.76
1991,9.46
1992,9.66
1993,8.92
1994,10.68
1995,10.93
1996,9.51
1997,9.87
1998,10.02
1999,9.64
2000,9.85
2001,10.94
2002,10.12
2003,8.84
2004,9.27
2005,9.73
2006,9.12
2007,10.32
2008,9.09
2009,8.88
2010,9.06
2011,8.43
2013,9.75
2014,9.77
2015,9.5
2016,10.07
2017,9.15
2018,9.56
2019,10.85
2020,9.29
2021,10.36
2022,9.46
2023,9.66
