date,mean autumn epilimnion 0-10 m oxygen concentration
1950,10.06
1951,11.33
1952,10.98
1953,11.32
1954,11.6
1956,8.74
1961,8.17
1968,8.59
1969,8.69
1970,9.57
1974,9.48
1976,9.98
1977,10.56
1978,9.49
1979,7.89
1980,10.82
1981,8.43
1982,9.16
1983,8.92
1984,9.1
1985,8.24
1987,9.68
1988,8.75
1989,9.12
1990,9.13
1991,9.39
1992,9.55
1993,9.35
1994,9.94
1995,10.26
1996,10.17
1997,9.38
1998,9.66
2000,8.96
2002,9.74
2003,9.15
2004,8.63
2005,9.51
2006,9.2
2007,8.82
2008,8.14
2009,8.59
2010,8.85
2012,9.47
2013,9.78
2014,9.29
2015,9.66
2016,8.79
2017,9.3
2018,9.2
2019,9.53
2020,9.35
2021,9.24
2022,9.66
2023,9.54
