date,mean winter epilimnion 0-10 m oxygen concentration
1951,9.07
1953,9.95
1975,8.55
1977,8.86
1978,7.65
1979,7.27
1980,8.57
1981,8.34
1983,8.58
1985,9.31
1988,8.96
1989,9.37
1990,8.68
1991,8.51
1992,8.33
1993,9.36
1994,8.43
1996,8.76
1997,8.83
1998,8.9
1999,8.8
2000,8.57
2001,9.03
2003,9.48
2005,8.86
2006,9.76
2007,10.19
2008,9.45
2009,8.18
2010,8.76
2011,8.15
2012,8.4
2013,9.58
2014,9.35
2015,9.18
2016,9.52
2017,8.79
2018,8.73
2019,9.13
2020,9.08
2021,8.18
2022,9.06
2023,9.63
