date,mean late autumn Schmidt stability
1950,2646.63
1951,2337.09
1952,1760.7
1953,2744.39
1954,3083.9
1973,3011.3
1976,2811.45
1978,2630.49
1979,2902.65
1980,2358.13
1981,2340.1
1982,2445.04
1983,3038.82
1984,3616.85
1985,2308.49
1987,2638.09
1988,2842.96
1989,3409.93
1990,2871.53
1991,2522.42
1992,3098.28
1993,2408.13
1995,3389.03
1996,2411.88
1997,2841.65
1998,2733.46
2000,3924.0
2002,3704.34
2003,2622.63
2004,3529.19
2005,3466.41
2006,4490.0
2007,2916.22
2008,3137.14
2009,3860.03
2010,3325.27
2011,2959.55
2012,4301.76
2013,4216.81
2014,5469.44
2015,4006.52
2016,3406.76
2017,4110.26
2018,4650.0
2019,5282.52
2020,4479.4
2021,3678.29
2022,5660.98
2023,5140.16
