date (yyyy-mm-dd HH:MM:SS),hypolimnetic density [kg/m3]
16.01.1974 12:00,1000.1718636793199
11.03.1974 12:00,1000.1782363963322
03.04.1974 12:00,1000.1638660114198
06.05.1974 12:00,1000.1540612529312
29.05.1974 12:00,1000.1408855653041
24.06.1974 12:00,1000.0936696155575
11.07.1974 12:00,1000.0630034668761
12.08.1974 12:00,1000.0184555569934
02.09.1974 12:00,1000.0118095314393
01.10.1974 12:00,999.8673060256826
30.10.1974 12:00,1000.0445393665723
27.11.1974 12:00,1000.0966339275953
16.12.1974 12:00,1000.1656137028627
20.01.1975 12:00,1000.167450413317
24.02.1975 12:00,1000.1852486761588
23.03.1975 12:00,1000.1628950226382
21.04.1975 12:00,1000.1553774112324
20.05.1975 12:00,1000.1394609902057
18.06.1975 12:00,1000.099164318346
14.07.1975 12:00,1000.0810424822995
08.09.1975 12:00,999.9816374709729
06.10.1975 12:00,999.9703575190282
03.11.1975 12:00,999.9774165341785
01.12.1975 12:00,1000.0701413168953
07.01.1976 12:00,1000.1631046591278
02.02.1976 12:00,1000.0493897455202
08.03.1976 12:00,1000.1708690565157
05.04.1976 12:00,1000.1633439380006
03.05.1976 12:00,1000.1049169017109
02.06.1976 12:00,1000.0751440122361
30.06.1976 12:00,1000.0387713743415
16.08.1976 12:00,1000.0472920077285
06.09.1976 12:00,999.9719461510615
18.10.1976 12:00,999.9841362369857
08.11.1976 12:00,999.9821912904684
06.12.1976 12:00,1000.1130895093526
03.01.1977 12:00,1000.1680186490596
31.01.1977 12:00,1000.1621695045501
28.02.1977 12:00,1000.1692340022216
28.03.1977 12:00,1000.1405627288503
25.04.1977 12:00,1000.0964581759911
25.05.1977 12:00,1000.0935788335382
22.06.1977 12:00,1000.0478214374654
04.07.1977 12:00,1000.0478018218498
31.08.1977 12:00,1000.0009482307331
28.09.1977 12:00,999.9890679283758
25.10.1977 12:00,999.9998378884825
21.11.1977 12:00,1000.0712778176579
12.12.1977 12:00,1000.1616939225154
16.01.1978 12:00,1000.17133513982
13.02.1978 12:00,1000.1706647117873
10.04.1978 12:00,1000.1573362375324
09.05.1978 12:00,1000.0691956728493
05.06.1978 12:00,999.9917709032724
04.07.1978 12:00,999.9549667879552
02.08.1978 12:00,999.9163752788618
04.09.1978 12:00,999.8948174946213
02.10.1978 12:00,999.8412975929657
02.11.1978 12:00,999.8207450452683
04.12.1978 12:00,1000.099853243663
10.01.1979 12:00,1000.1691550043087
05.02.1979 12:00,1000.1640523759459
05.03.1979 12:00,1000.1820525965891
07.05.1979 12:00,1000.1302180956955
05.06.1979 12:00,1000.1028020052969
04.07.1979 12:00,1000.0773420686545
01.08.1979 12:00,1000.0642319853583
10.09.1979 12:00,1000.0291375551172
01.10.1979 12:00,999.997896587477
07.11.1979 12:00,999.9006851048567
04.12.1979 12:00,1000.1048718222127
09.01.1980 12:00,1000.1646863717593
04.02.1980 12:00,1000.1635545960688
03.03.1980 12:00,1000.1943331566362
01.04.1980 12:00,1000.1560334300877
05.05.1980 12:00,1000.1362596814021
03.06.1980 12:00,1000.08395358401
01.07.1980 12:00,1000.0706426137044
01.09.1980 12:00,999.9462579040855
01.10.1980 12:00,999.9110318671339
05.11.1980 12:00,999.977260505089
01.12.1980 12:00,1000.1183162456024
14.01.1981 12:00,1000.1482965090552
09.02.1981 12:00,1000.148800411641
09.03.1981 12:00,1000.1624877272325
06.04.1981 12:00,1000.1570784653306
04.05.1981 12:00,1000.1038145431003
01.06.1981 12:00,1000.1035213054955
01.07.1981 12:00,1000.0847473871814
27.07.1981 12:00,1000.0389237538999
31.08.1981 12:00,1000.0160526964835
05.10.1981 12:00,999.9948793322653
02.11.1981 12:00,999.9535772625444
07.12.1981 12:00,1000.160592097891
18.01.1982 12:00,1000.1687062963266
08.02.1982 12:00,1000.1685346369214
01.03.1982 12:00,1000.1747777943726
05.04.1982 12:00,1000.1742887619904
03.05.1982 12:00,1000.1477498009816
01.06.1982 12:00,1000.1227488493003
05.07.1982 12:00,1000.0842749198654
26.07.1982 12:00,1000.056142574884
30.08.1982 12:00,1000.0371183949075
20.09.1982 12:00,1000.0386057063166
18.10.1982 12:00,999.9890192748467
08.11.1982 12:00,999.9762333437593
06.12.1982 12:00,1000.1191130852055
10.01.1983 12:00,1000.1684111674338
07.02.1983 12:00,1000.1824252090507
07.03.1983 12:00,1000.1709673092499
05.04.1983 12:00,1000.1787024016902
02.05.1983 12:00,1000.1632892558368
06.06.1983 12:00,1000.0838288750826
25.07.1983 12:00,1000.0573047485728
05.09.1983 12:00,1000.0114490280785
04.10.1983 12:00,999.9877015166783
08.11.1983 12:00,999.9180147505058
05.12.1983 12:00,1000.152524874794
09.01.1984 12:00,1000.1752028259922
06.02.1984 12:00,1000.1777588579952
12.03.1984 12:00,1000.1753016818847
03.04.1984 12:00,1000.1797902542487
07.05.1984 12:00,1000.1679273327912
04.06.1984 12:00,1000.0997323950113
02.07.1984 12:00,1000.072492549678
23.07.1984 12:00,1000.0676667318302
03.09.1984 12:00,1000.0054396179846
01.10.1984 12:00,999.9486427293576
29.10.1984 12:00,999.9679776405868
19.11.1984 12:00,999.9978169517364
10.12.1984 12:00,1000.1212456384949
04.02.1985 12:00,1000.1895500188775
25.02.1985 12:00,1000.1768752449817
18.03.1985 12:00,1000.1995452767483
01.04.1985 12:00,1000.2006986620266
05.05.1985 12:00,1000.1588280183207
03.06.1985 12:00,1000.1460295353805
01.07.1985 12:00,1000.0804285068689
22.07.1985 12:00,1000.0729649953485
02.09.1985 12:00,1000.0067138018886
04.11.1985 12:00,999.9825393053914
07.11.1985 12:00,999.9973519577503
09.12.1985 12:00,1000.183483252774
07.01.1986 12:00,1000.196750487496
03.02.1986 12:00,1000.2053675816998
01.04.1986 12:00,1000.2053789519379
05.05.1986 12:00,1000.2001594384667
02.06.1986 12:00,1000.1800768743858
28.07.1986 12:00,1000.1504372645976
06.10.1986 12:00,1000.0521748406385
03.11.1986 12:00,999.9776872365793
01.12.1986 12:00,1000.0628537526891
10.03.1987 12:00,1000.1928734621476
24.03.1987 12:00,1000.1885765844969
07.04.1987 12:00,1000.1887250915638
22.04.1987 12:00,1000.181278344237
05.05.1987 12:00,1000.173493899514
20.05.1987 12:00,1000.1392639592938
03.06.1987 12:00,1000.1111582151042
17.06.1987 12:00,1000.083976811288
