date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,33723484.33,12011986.66,1612909.311,2275353.779,2547690.019,95627.559,2860561.385,55173465.34,1968065.185,2173259.832
1981,34098620.786,12417752.096,1627730.778,2213486.174,2663944.467,76502.047,2833804.598,56074138.402,2008389.533,2150426.167
1982,34473757.242,12823517.532,1642552.245,2151618.569,2780198.914,57376.535,2807047.811,56974811.464,2048713.882,2127592.503
1983,34848893.698,13229282.968,1657373.713,2089750.964,2896453.362,38251.024,2780291.025,57875484.526,2089038.23,2104758.838
1984,35224030.154,13635048.404,1672195.18,2027883.359,3012707.809,19125.512,2753534.238,58776157.588,2129362.579,2081925.174
1985,35599166.61,14040813.84,1687016.647,1966015.754,3128962.257,0.0,2726777.451,59676830.65,2169686.927,2059091.509
1986,37181198.314,13760985.6,1688361.487,1913403.45,3183937.166,58864.675,2672499.138,60954681.868,2212224.83,2043935.681
1987,38763230.018,13481157.36,1689706.326,1860791.146,3238912.075,117729.351,2618220.825,62232533.086,2254762.733,2028779.853
1988,40345261.722,13201329.12,1691051.166,1808178.842,3293886.984,176594.026,2563942.513,63510384.304,2297300.636,2013624.024
1989,41927293.426,12921500.88,1692396.005,1755566.538,3348861.893,235458.702,2509664.2,64788235.522,2339838.539,1998468.196
1990,43509325.13,12641672.64,1693740.845,1702954.234,3403836.802,294323.377,2455385.887,66066086.74,2382376.442,1983312.368
1991,42366844.47,13075696.535,1736963.826,1669366.968,3391743.32,315601.813,2540743.486,65730829.947,2432376.721,2009308.809
1992,41224363.81,13509720.43,1780186.807,1635779.702,3379649.838,336880.25,2626101.084,65395573.153,2482377.0,2035305.25
1993,40081883.15,13943744.325,1823409.788,1602192.436,3367556.356,358158.686,2711458.683,65060316.36,2532377.278,2061301.692
1994,38939402.49,14377768.22,1866632.768,1568605.171,3355462.873,379437.122,2796816.282,64725059.567,2582377.557,2087298.133
1995,37796921.83,14811792.115,1909855.749,1535017.905,3343369.391,400715.559,2882173.88,64389802.773,2632377.836,2113294.574
1996,36654441.17,15245816.01,1953078.73,1501430.639,3331275.909,421993.995,2967531.479,64054545.98,2682378.115,2139291.015
1997,33943569.34,14294874.99,2029886.217,1372931.393,3488847.767,622640.739,3278385.915,61420708.01,2505710.711,2079925.223
1998,33349185.86,13701851.88,1848247.374,1222761.136,3594135.684,523390.861,3041608.926,59619167.7,2454416.165,2009559.009
1999,31873397.46,12846033.67,1808727.716,1198074.761,3302894.914,483661.694,2377382.46,56392049.68,2532362.0,1796985.141
2000,32227472.33,13004083.33,1807774.483,1250843.723,3042018.577,566721.977,3530735.561,57730632.03,2925353.536,1948847.988
2001,30529046.43,12975564.06,1778834.66,1193714.497,2875229.563,648409.092,3292617.992,56125526.37,2922662.45,1905463.385
2002,29353303.96,12456953.27,1828066.574,1110034.46,3318388.243,606494.491,3368831.365,55171950.66,3037686.085,1918871.848
2003,27487493.31,11814552.02,1796799.914,1042550.768,3572395.628,831681.36,3361518.126,52313654.42,2446624.559,1730844.865
2004,26623076.69,13053865.69,1918005.035,1052487.003,3536318.543,936585.851,4318367.528,53790095.15,2729450.458,1698365.436
2005,28620812.3,12846700.58,1853889.796,936779.574,3683091.824,957621.527,3243346.989,54147905.95,2683623.738,1748832.549
2006,29099412.55,12537464.18,1943675.832,891965.342,3935165.036,1136332.909,3433486.376,54716617.63,2801515.885,1811731.403
2007,26362882.92,13085289.76,2045551.607,861381.066,4006552.805,1290772.134,3499013.851,52783964.23,2654521.081,1740761.451
2008,26513470.78,13282855.98,2006737.554,827151.401,4193658.577,902134.851,3518628.891,52847815.12,2717454.366,1803342.722
2009,25090728.99,13677992.47,2048592.102,840383.839,3984771.035,744819.041,2950512.479,51048617.5,2766336.537,1782698.902
2010,25119614.78,13752373.78,1750620.756,736224.415,3919900.895,460062.05,2803309.504,50359732.14,2747891.782,1813941.598
2011,24023211.36,13675717.31,1932681.541,738266.33,4198380.399,504009.023,2966308.314,49880419.38,2769080.065,1751207.536
2012,24425729.29,13413885.36,1938248.968,673912.139,4060721.279,425639.058,2937711.964,49749536.21,2773851.093,1810927.775
2013,23607698.59,13519248.9,1907985.006,628913.219,3980843.628,494371.341,2965040.94,48974984.54,2821297.607,1801837.055
2014,22768002.97,14162435.16,1980127.41,633016.709,4118223.358,623913.286,2912072.477,49441136.32,2794418.048,1790565.568
2015,21841341.55,14107509.01,1817701.499,565222.67,4346894.422,648826.546,3142135.186,49293964.45,2968578.094,1769864.449
2016,23291434.2,14357598.61,1754574.587,610141.586,3852768.382,847435.005,3254995.121,50132378.57,2906846.611,1758995.352
2017,23182373.37,14968342.7,1720304.745,603086.812,3781680.109,797054.948,3516103.928,50951715.87,2919127.863,1661850.547
2018,23363974.45,14891494.03,1635064.654,498666.488,3986394.035,895836.052,3792902.677,51498423.41,2901839.008,1590636.55
2019,22717896.11,14859558.54,1503502.111,540505.982,3972702.421,828086.099,3795509.513,50520468.29,2833512.55,1558715.609
2020,22717896.11,14859558.54,1503502.111,540505.982,3972702.421,828086.099,3795509.513,50520468.29,2833512.55,1558715.609
