date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,0.0,42947.454,0.0,518.48,0.0,0.0,777.72,44243.655,0.0,0.0
1981,0.0,47769.321,69.131,622.176,0.0,0.0,933.265,49393.893,0.0,0.0
1982,0.0,52591.188,138.261,725.872,0.0,0.0,1088.809,54544.131,0.0,0.0
1983,0.0,57413.055,207.392,829.568,0.0,0.0,1244.353,59694.369,0.0,0.0
1984,0.0,62234.922,276.523,933.265,0.0,0.0,1399.897,64844.607,0.0,0.0
1985,0.0,67056.789,345.654,1036.961,0.0,0.0,1555.441,69994.845,0.0,0.0
1986,1040.757,62911.91,2988.238,1002.395,0.0,0.0,1244.353,69187.653,160.0,0.0
1987,2081.514,58767.031,5630.823,967.83,0.0,0.0,933.265,68380.462,320.0,0.0
1988,3122.27,54622.152,8273.407,933.265,0.0,0.0,622.176,67573.271,480.0,0.0
1989,4163.027,50477.273,10915.992,898.699,0.0,0.0,311.088,66766.08,640.0,0.0
1990,5203.784,46332.394,13558.576,864.134,0.0,0.0,0.0,65958.888,800.0,0.0
1991,4348.35,49523.487,11769.966,1613.05,0.0,0.0,2348.882,69618.137,733.333,0.0
1992,3492.916,52714.58,9981.356,2361.966,0.0,0.0,4697.764,73277.386,666.667,0.0
1993,2637.481,55905.673,8192.746,3110.882,0.0,0.0,7046.646,76936.635,600.0,0.0
1994,1782.047,59096.766,6404.136,3859.798,0.0,0.0,9395.527,80595.884,533.333,0.0
1995,926.613,62287.859,4615.526,4608.714,0.0,0.0,11744.409,84255.132,466.667,0.0
1996,71.178,65478.952,2826.916,5357.63,0.0,0.0,14093.291,87914.381,400.0,0.0
1997,0.0,62173.099,39.544,6913.071,0.0,0.0,13504.215,83926.129,400.0,0.0
1998,0.0,63421.848,39.544,7345.138,0.0,0.0,8232.998,79039.527,400.0,0.0
1999,0.0,51759.204,0.0,6221.764,0.0,0.0,11516.707,71225.942,400.0,0.0
2000,0.0,43518.297,0.0,4493.496,0.0,0.0,18170.538,67910.599,400.0,0.0
2001,0.0,43502.48,0.0,6567.418,0.0,0.0,18516.191,70314.356,400.0,0.0
2002,0.0,40030.127,0.0,7345.138,0.0,0.0,19034.672,68138.204,400.0,0.0
2003,0.0,40022.218,0.0,7345.138,0.0,0.0,19034.672,68130.295,400.0,0.0
2004,0.0,27802.55,0.0,7345.138,0.0,0.0,19034.672,55910.627,400.0,0.0
2005,0.0,37323.84,0.0,8209.272,0.0,0.0,19898.805,67160.185,400.0,0.0
2006,0.0,33003.17,0.0,3888.602,0.0,0.0,24203.657,62836.352,400.0,0.0
2007,0.0,26090.099,0.0,3888.602,0.0,0.0,26363.992,56787.415,400.0,0.0
2008,0.0,30410.769,0.0,3888.602,0.0,0.0,27573.78,62317.872,400.0,0.0
2009,0.0,32800.873,0.0,5444.044,0.0,0.0,24462.898,63152.535,200.0,0.0
2010,0.0,33050.04,0.0,7690.792,0.0,0.0,18586.787,59772.34,200.0,0.0
2011,0.0,33914.174,0.0,6740.244,0.0,0.0,16944.933,58044.072,200.0,0.0
2012,0.0,34259.828,0.0,6999.484,0.0,0.0,16253.626,57957.659,200.0,0.0
2013,0.0,34691.895,0.0,6999.484,0.0,0.0,17117.76,59253.86,0.0,0.0
2014,0.0,51888.159,0.0,7345.138,0.0,0.0,16772.106,76450.124,0.0,0.0
2015,0.0,51888.159,0.0,6913.071,0.0,0.0,17636.24,76882.191,0.0,0.0
2016,0.0,62845.842,0.0,7604.378,0.0,0.0,16677.784,87473.658,0.0,0.0
2017,0.0,44896.166,0.0,11665.807,0.0,0.0,17369.091,74276.718,0.0,0.0
2018,0.0,42839.062,0.0,7777.205,0.0,0.0,21689.76,72651.68,0.0,0.0
2019,0.0,70128.71,0.0,7777.205,0.0,0.0,23763.682,102015.25,0.0,0.0
2020,0.0,70128.71,0.0,7777.205,0.0,0.0,23763.682,102015.25,0.0,0.0
