date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,9593683.91,3898189.812,409755.475,2732051.904,274631.182,24300.0,7826656.378,25026325.52,35216554.61,21237558.5
1981,9780496.452,3798001.882,367628.462,2602128.768,263962.632,19440.0,7658968.734,24736963.036,35952407.588,20977381.27
1982,9967308.994,3697813.951,325501.45,2472205.632,253294.081,14580.0,7491281.09,24447600.552,36688260.566,20717204.04
1983,10154121.536,3597626.021,283374.438,2342282.497,242625.53,9720.0,7323593.447,24158238.068,37424113.544,20457026.81
1984,10340934.078,3497438.09,241247.425,2212359.361,231956.98,4860.0,7155905.803,23868875.584,38159966.522,20196849.58
1985,10527746.62,3397250.16,199120.413,2082436.225,221288.429,0.0,6988218.159,23579513.1,38895819.5,19936672.35
1986,10887117.346,3504209.72,188547.822,1981034.146,241927.549,28384.11,6941576.984,23932878.186,38726574.668,19850731.716
1987,11246488.072,3611169.279,177975.232,1879632.067,262566.67,56768.221,6894935.809,24286243.272,38557329.836,19764791.082
1988,11605858.798,3718128.839,167402.641,1778229.987,283205.79,85152.331,6848294.635,24639608.358,38388085.004,19678850.448
1989,11965229.524,3825088.398,156830.051,1676827.908,303844.911,113536.442,6801653.46,24992973.444,38218840.172,19592909.814
1990,12324600.25,3932047.958,146257.46,1575425.829,324484.032,141920.552,6755012.285,25346338.53,38049595.34,19506969.18
1991,12145094.35,3980775.563,130556.721,1503354.06,322655.781,138317.127,6492961.64,24923434.092,38525063.59,19985952.837
1992,11965588.45,4029503.169,114855.983,1431282.291,320827.53,134713.702,6230910.994,24500529.653,39000531.84,20464936.493
1993,11786082.55,4078230.774,99155.244,1359210.522,318999.279,131110.276,5968860.348,24077625.215,39476000.09,20943920.15
1994,11606576.65,4126958.379,83454.505,1287138.752,317171.028,127506.851,5706809.703,23654720.777,39951468.34,21422903.807
1995,11427070.75,4175685.985,67753.767,1215066.983,315342.777,123903.426,5444759.058,23231816.338,40426936.59,21901887.463
1996,11247564.85,4224413.59,52053.028,1142995.214,313514.526,120300.0,5182708.412,22808911.9,40902404.84,22380871.12
1997,9967550.02,4676064.085,50698.377,948336.966,289534.798,98732.245,4651911.376,21736040.99,41647744.29,23071839.01
1998,9928815.572,4371055.244,48012.814,1021367.021,365338.273,104102.909,4101394.982,21141067.87,41960018.92,22766933.26
1999,9453176.091,4264092.13,175579.824,974610.789,233894.434,154000.0,2339797.939,19073057.81,41797262.6,21681141.59
2000,8909226.927,3969048.926,152965.568,1013874.77,262424.327,151537.446,2032555.362,18085321.79,42280288.31,21602234.64
2001,8122364.12,3961174.056,69178.298,927645.548,297114.774,144265.633,3096333.745,18648124.49,43843030.41,22448097.87
2002,8096971.935,3631295.804,59860.017,820076.248,309328.138,137923.85,2977034.374,18267458.77,44534081.18,22838435.34
2003,7946212.587,3976483.414,56157.561,671337.225,254535.729,167814.891,2696681.851,17459749.75,42302722.64,21511484.52
2004,7664834.574,4332568.196,61121.888,692630.678,271964.457,115954.581,2508004.208,17163331.05,42290677.48,22007984.94
2005,7493304.144,4492136.82,61252.206,551940.162,294364.512,57218.557,2164423.652,16441037.31,42715678.4,22034755.22
2006,6970321.241,4112054.102,103735.263,550399.41,301326.028,63414.923,2238027.85,15549718.6,42797192.77,22136085.05
2007,6381870.235,4060377.134,68027.834,525560.507,292643.361,56792.694,2123333.729,14587035.88,42579753.88,22274166.73
2008,6267129.798,4023780.909,61624.244,534881.492,284730.886,54578.305,2058253.181,14326010.59,42047935.32,22139965.64
2009,6572966.393,3861983.359,60220.159,460732.247,278676.34,40053.944,1850419.851,14150224.24,42876070.6,22204896.44
2010,6400367.468,3775452.533,53480.338,441408.024,211065.575,48983.168,1773150.971,13748927.47,42284853.27,22009810.57
2011,5976818.155,4025245.834,54515.449,375245.756,91520.39,86464.399,1419072.986,13079576.53,41838232.1,22509118.9
2012,5787614.56,4017295.986,51945.034,392602.625,138466.542,50598.294,1417147.348,12951667.73,41265771.73,22004073.09
2013,5217810.327,3815371.619,54583.184,426364.091,145249.396,89781.316,1220580.917,12069254.7,40759654.14,21974676.09
2014,5549437.446,3161581.742,56240.437,393136.602,215413.13,77763.298,1148630.344,11552517.71,42032395.62,21627926.79
2015,5690799.127,3104338.68,51869.875,317417.265,223916.539,104879.95,1128278.617,11478357.84,41246386.82,21502547.78
2016,5606163.75,3243409.819,51134.81,364806.844,198405.929,90742.871,1078642.616,11621567.89,41584168.0,21880688.21
2017,5571241.314,3199859.428,49756.698,361573.329,158807.914,69152.377,1050111.711,11355777.54,42090954.63,21435412.98
2018,4970568.977,3176195.332,42745.384,345962.415,173513.627,41997.732,837760.177,10847130.15,42222494.81,20329505.98
2019,4909108.178,3006359.084,41331.629,323416.296,69785.917,33108.58,758022.801,10323113.34,42037816.58,20093900.98
2020,4909108.178,3006359.084,41331.629,323416.296,69785.917,33108.58,758022.801,10323113.34,42037816.58,20093900.98
