date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,0.0,132796.299,0.0,2116.644,0.0,0.0,4310.881,139223.823,0.0,0.0
1981,0.0,150280.24,0.0,2102.009,0.0,0.0,3615.582,156116.723,0.0,0.0
1982,0.0,167764.18,0.0,2087.374,0.0,0.0,2920.283,173009.622,0.0,0.0
1983,0.0,185248.121,0.0,2072.739,0.0,0.0,2224.984,189902.522,0.0,0.0
1984,0.0,202732.061,0.0,2058.104,0.0,0.0,1529.685,206795.421,0.0,0.0
1985,0.0,220216.002,0.0,2043.469,0.0,0.0,834.386,223688.321,0.0,0.0
1986,9544.901,223520.697,20.0,2251.532,0.0,0.0,687.509,236589.379,120.0,0.0
1987,19089.803,226825.392,40.0,2459.594,0.0,0.0,540.632,249490.438,240.0,0.0
1988,28634.704,230130.088,60.0,2667.656,0.0,0.0,393.754,262391.497,360.0,0.0
1989,38179.605,233434.783,80.0,2875.719,0.0,0.0,246.877,275292.555,480.0,0.0
1990,47724.506,236739.479,100.0,3083.781,0.0,0.0,100.0,288193.614,600.0,0.0
1991,44228.901,230002.425,176.218,3028.05,0.0,0.0,102.31,277921.828,500.0,0.0
1992,40733.295,223265.372,252.437,2972.319,0.0,0.0,104.619,267650.043,400.0,0.0
1993,37237.689,216528.318,328.655,2916.588,0.0,0.0,106.929,257378.257,300.0,0.0
1994,33742.083,209791.265,404.873,2860.857,0.0,0.0,109.239,247106.472,200.0,0.0
1995,30246.478,203054.211,481.092,2805.126,0.0,0.0,111.548,236834.686,100.0,0.0
1996,26750.872,196317.158,557.31,2749.395,0.0,0.0,113.858,226562.901,0.0,0.0
1997,22775.395,171317.401,557.31,2712.241,0.0,0.0,0.0,197362.347,0.0,0.0
1998,25822.022,142813.13,668.772,2712.241,0.0,0.0,113.858,172130.023,0.0,0.0
1999,15233.135,131615.549,0.0,2489.317,0.0,0.0,0.0,149338.002,0.0,0.0
2000,7430.798,124056.451,0.0,1634.776,0.0,0.0,0.0,133865.104,0.0,0.0
2001,11146.197,106844.03,0.0,1634.776,0.0,0.0,0.0,120368.082,0.0,0.0
2002,16273.447,100193.466,0.0,1560.468,0.0,0.0,0.0,118770.46,0.0,0.0
2003,11146.197,91466.496,0.0,1374.698,0.0,0.0,0.0,104730.47,0.0,0.0
2004,15233.135,99909.966,0.0,1374.698,0.0,0.0,0.0,117260.878,0.0,0.0
2005,17090.835,97866.496,0.0,1188.928,0.0,0.0,0.0,116146.259,0.0,0.0
2006,14861.595,97866.496,0.0,1003.158,0.0,0.0,0.0,113731.25,0.0,0.0
2007,10403.117,95748.719,0.0,817.388,0.0,0.0,0.0,106969.224,0.0,0.0
2008,12818.126,93853.866,0.0,817.388,0.0,0.0,0.0,107489.38,0.0,0.0
2009,17833.914,103959.751,0.0,817.388,0.0,0.0,0.0,122611.053,0.0,0.0
2010,11889.276,108991.328,0.0,817.388,0.0,0.0,0.0,121697.992,0.0,0.0
2011,11146.197,121658.422,0.0,817.388,0.0,0.0,0.0,133622.007,0.0,0.0
2012,11889.276,122364.348,0.0,817.388,0.0,0.0,0.0,135071.012,0.0,0.0
2013,32000.0,147643.04,0.0,817.388,0.0,0.0,0.0,188634.305,0.0,0.0
2014,7500.0,123300.578,0.0,828.534,0.0,0.0,0.0,131629.112,0.0,0.0
2015,2338.844,120901.536,0.0,828.162,0.0,0.0,0.0,124068.542,0.0,0.0
2016,2338.844,131856.998,0.0,594.464,0.0,0.0,0.0,134790.305,0.0,0.0
2017,2313.579,141923.63,0.0,606.353,0.0,0.0,0.0,144843.562,0.0,0.0
2018,2313.579,137838.15,0.0,605.982,0.0,0.0,0.0,140757.71,0.0,0.0
2019,20251.153,132966.033,0.0,606.353,0.0,0.0,0.0,153823.539,0.0,0.0
2020,20251.153,132966.033,0.0,606.353,0.0,0.0,0.0,153823.539,0.0,0.0
