date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,7520290.053,927405.519,25083.142,399143.578,17274.41,20145.568,39087.1,8948712.205,0.0,0.0
1981,7553064.833,913788.677,27705.19,375034.203,19565.088,16116.455,36928.455,8947853.921,0.0,0.0
1982,7585839.613,900171.835,30327.237,350924.827,21855.765,12087.341,34769.81,8946995.637,0.0,0.0
1983,7618614.394,886554.993,32949.285,326815.451,24146.443,8058.227,32611.165,8946137.354,0.0,0.0
1984,7651389.174,872938.151,35571.332,302706.076,26437.12,4029.114,30452.52,8945279.07,0.0,0.0
1985,7684163.954,859321.309,38193.379,278596.7,28727.798,0.0,28293.875,8944420.786,0.0,0.0
1986,8147632.099,876120.768,36775.904,265198.056,30083.836,19640.246,23933.944,9421083.871,0.0,1020.0
1987,8611100.244,892920.227,35358.429,251799.412,31439.875,39280.492,19574.013,9897746.956,0.0,2040.0
1988,9074568.39,909719.687,33940.954,238400.768,32795.913,58920.738,15214.082,10374410.04,0.0,3060.001
1989,9538036.535,926519.146,32523.479,225002.124,34151.952,78560.984,10854.151,10851073.125,0.0,4080.001
1990,10001504.68,943318.605,31106.004,211603.48,35507.99,98201.23,6494.22,11327736.21,0.0,5100.001
1991,9880985.546,973572.118,31505.775,198599.278,36097.981,88528.315,6782.542,11216071.708,0.0,4250.001
1992,9760466.412,1003825.632,31905.546,185595.075,36687.973,78855.399,7070.864,11104407.207,0.0,3400.001
1993,9639947.278,1034079.145,32305.317,172590.872,37277.964,69182.483,7359.185,10992742.705,0.0,2550.0
1994,9519428.145,1064332.658,32705.088,159586.669,37867.955,59509.567,7647.507,10881078.203,0.0,1700.0
1995,9398909.011,1094586.171,33104.86,146582.466,38457.947,49836.651,7935.829,10769413.702,0.0,850.0
1996,9278389.877,1124839.684,33504.631,133578.263,39047.938,40163.735,8224.15,10657749.2,0.0,0.0
1997,8726902.192,1176607.135,32165.874,110572.205,49345.222,72597.193,8080.014,10176270.76,0.0,3600.0
1998,8748602.97,1118523.29,24945.434,82526.806,61550.415,93405.613,9252.003,10140564.63,0.0,3600.0
1999,8387558.911,1126823.593,25590.775,74955.732,78071.022,64191.517,7472.557,9766413.876,0.0,7100.0
2000,7640455.161,1067285.906,26239.508,93998.238,30064.15,46399.325,8772.702,8914346.703,0.0,0.0
2001,7323928.848,1230603.216,23039.777,76686.689,59.522,28343.165,8790.927,8712636.109,0.0,3500.0
2002,7055302.547,1176466.104,16010.581,77411.003,372.74,52412.533,9227.967,8399953.246,0.0,3500.0
2003,6216053.281,1186257.46,13121.46,63336.161,484.322,74112.446,8857.144,7573599.307,0.0,3500.0
2004,5954526.675,1285967.076,10933.242,57432.976,825.287,31875.367,9264.389,7354147.053,0.0,3500.0
2005,6174252.264,1288645.948,11843.844,54227.637,651.72,25417.871,10700.151,7569061.477,0.0,3500.0
2006,5798701.511,1260652.818,11856.29,50594.685,1097.87,27337.642,10700.151,7164263.009,0.0,3400.0
2007,4759652.87,1232054.17,11216.5,47097.394,924.418,6317.026,10586.44,6068272.229,0.0,3000.0
2008,4636862.656,1277181.727,6978.548,42230.222,26012.723,73001.848,9286.676,6072076.607,0.0,3000.0
2009,4573351.937,1370203.234,5977.306,43071.241,23269.635,18807.92,4300.015,6039503.495,0.0,3000.0
2010,4336310.894,1414294.908,5307.673,36010.987,20907.267,22481.597,5200.015,5841035.547,0.0,3000.0
2011,4093959.277,1487589.92,5954.316,33788.619,21380.809,20765.868,6500.015,5673050.029,0.0,3000.0
2012,4097109.072,1475526.271,273.949,29654.743,84172.757,10517.867,6500.015,5707115.881,0.0,3000.0
2013,3710277.206,1534270.966,268.686,29004.542,91081.881,22627.734,6810.522,5419275.63,0.0,3000.0
2014,3727591.772,1676146.054,220.652,30914.202,110476.378,24169.326,7247.0,5585274.255,0.0,252.0
2015,3822250.315,1475471.455,196.249,26808.992,132526.645,67791.809,8045.406,5556696.096,0.0,302.0
2016,3895190.602,1491716.039,21.572,25965.524,104950.106,56671.098,8556.844,5664717.409,0.0,302.0
2017,4238868.902,1471729.802,261.379,47613.809,79076.989,60393.599,8939.907,5965904.255,0.0,302.0
2018,4254590.666,1438195.349,236.427,41963.772,99476.634,118643.537,8638.744,6033804.748,0.0,333.0
2019,4121660.712,1403512.534,8511.051,47896.084,183401.43,85134.295,9221.819,5905639.986,0.0,332.0
2020,4121660.712,1403512.534,8511.051,47896.084,183401.43,85134.295,9221.819,5905639.986,0.0,332.0
