date,cereal,maize,sugarbeet,potato,rapeseed,pulse,vegetable,total_arable,grapevine,orchard
1980,1348088076.0,308668550.4,136253102.6,212241148.1,89737680.12,1933611.223,59408791.75,2164279076.0,27525000.0,38252671.17
1981,1362903819.0,317293719.04,139047861.48,206097173.76,92838200.416,1546888.978,59075398.786,2187760167.4,28093113.602,37882957.018
1982,1377719562.0,325918887.68,141842620.36,199953199.42,95938720.712,1160166.734,58742005.822,2211241258.8,28661227.204,37513242.866
1983,1392535305.0,334544056.32,144637379.24,193809225.08,99039241.008,773444.489,58408612.858,2234722350.2,29229340.806,37143528.714
1984,1407351048.0,343169224.96,147432138.12,187665250.74,102139761.304,386722.245,58075219.894,2258203441.6,29797454.408,36773814.562
1985,1422166791.0,351794393.6,150226897.0,181521276.4,105240281.6,0.0,57741826.93,2281684533.0,30365568.01,36404100.41
1986,1469329830.4,345442862.52,151187063.64,177707669.92,108320502.0,2253369.178,55696287.7,2323093023.6,30623814.408,36661879.71
1987,1516492869.8,339091331.44,152147230.28,173894063.44,111400722.4,4506738.356,53650748.47,2364501514.2,30882060.806,36919659.01
1988,1563655909.2,332739800.36,153107396.92,170080456.96,114480942.8,6760107.534,51605209.24,2405910004.8,31140307.204,37177438.31
1989,1610818948.6,326388269.28,154067563.56,166266850.48,117561163.2,9013476.712,49559670.01,2447318495.4,31398553.602,37435217.61
1990,1657981988.0,320036738.2,155027730.2,162453244.0,120641383.6,11266845.89,47514130.78,2488726986.0,31656800.0,37692996.91
1991,1637288632.667,326910554.0,159338522.683,160781545.05,119285148.1,11305227.612,49978429.698,2483792496.667,31779100.0,37709847.132
1992,1616595277.333,333784369.8,163649315.167,159109846.1,117928912.6,11343609.333,52442728.617,2478858007.333,31901400.0,37726697.353
1993,1595901922.0,340658185.6,167960107.65,157438147.15,116572677.1,11381991.055,54907027.535,2473923518.0,32023700.0,37743547.575
1994,1575208566.667,347532001.4,172270900.133,155766448.2,115216441.6,11420372.777,57371326.453,2468989028.667,32146000.0,37760397.797
1995,1554515211.333,354405817.2,176581692.617,154094749.25,113860206.1,11458754.498,59835625.372,2464054539.333,32268300.0,37777248.018
1996,1533821856.0,361279633.0,180892485.1,152423050.3,112503970.6,11497136.22,62299924.29,2459120050.0,32390600.0,37794098.24
1997,1457809404.0,352330888.2,185875056.8,137957038.9,116899822.1,19006888.76,65551169.34,2395228789.0,32109300.0,37587415.89
1998,1464690489.0,343624646.6,182813550.5,127741721.8,120898006.7,17620032.0,62747840.68,2387275241.0,32982000.0,38038778.78
1999,1426960355.0,339095836.8,185656457.0,126292179.2,119069815.4,18523973.01,65619569.14,2343602782.0,32928500.0,38604197.01
2000,1436966215.0,341382136.7,185295837.5,129897072.7,103397289.7,18072686.44,69077027.16,2342771941.0,33524400.0,39555614.87
2001,1415572690.0,348268669.5,182619102.2,126726559.1,93968590.83,20514016.04,67088228.01,2323666165.0,34381400.0,38639085.74
2002,1374288915.0,339259076.7,183400908.7,123628045.5,110258850.9,28173467.61,69009613.6,2310881989.0,34257300.01,38676054.78
2003,1318944868.0,340434105.7,174940498.9,125396703.3,116076792.2,37657754.69,68829617.12,2271951274.0,33759300.01,36819825.81
2004,1283607477.0,357102150.9,182368782.5,123349860.1,124009991.9,34306844.48,72246350.8,2262012699.0,33038500.0,36537239.11
2005,1334042547.0,360913841.4,177221572.2,116109831.3,129995415.6,36374777.2,73466559.52,2306459027.0,32824500.09,36956599.44
2006,1328624378.0,352164563.1,180477848.3,111953757.7,139383766.4,39892694.68,75856581.09,2305807007.0,33031000.16,37368878.47
2007,1251673482.0,358308010.0,198332841.2,108779423.2,152291256.5,41129202.13,77596496.03,2258916002.0,33310100.0,37392463.99
2008,1241179290.0,376616886.3,195176345.1,102387908.4,155593433.2,32519308.84,81511266.6,2248852303.0,33452300.11,36754855.01
2009,1212688007.0,388362612.9,191739125.3,103998141.7,162327242.5,28051005.39,80510796.57,2224400325.0,34103000.11,37355154.83
2010,1205697892.0,395043110.4,169318096.7,100986437.2,165715343.7,25984937.13,80166549.23,2199900421.0,33901400.11,37230720.93
2011,1159228762.0,402087068.1,182589075.6,104467273.0,169475133.6,25361374.9,85832963.5,2186445352.0,33505342.11,37454274.91
2012,1171763522.0,397657732.1,179886862.6,101246633.4,170045956.2,25180296.16,82988520.1,2187854305.0,33742943.11,37051290.47
2013,1180393575.0,393728240.0,184995775.4,102637549.4,170636038.0,28192423.96,85944847.22,2213598950.0,33549951.12,36793832.57
2014,1123583164.0,396782520.5,195328983.9,105283459.8,178133949.7,31691693.46,90525904.91,2210870709.0,34271858.12,36228479.05
2015,1128243491.0,394475660.3,183273413.6,101185045.3,179711715.1,37499728.07,94877724.31,2220286391.0,34764333.12,36101672.93
2016,1155377392.0,398793618.0,176380760.6,101805781.7,160634677.2,41479757.63,99889131.78,2218081908.0,34755267.12,36140337.24
2017,1143949278.0,414304556.6,173919026.1,104053274.3,156795235.4,41497527.6,106205482.8,2231290680.0,34701006.12,36214575.71
2018,1151440401.0,407419910.8,167027516.9,103085211.3,177551630.4,40491705.1,106660851.7,2248835260.0,34970697.12,36443108.89
2019,1131433569.0,405002939.8,158084545.8,102144510.8,178943758.6,38221945.29,103954496.0,2219540875.0,34945404.01,36419165.7
2020,1131433569.0,405002939.8,158084545.8,102144510.8,178943758.6,38221945.29,103954496.0,2219540875.0,34945404.01,36419165.7
