date,minimum surface temperature
1987,4.73
1988,5.91
1989,5.25
1990,5.98
1991,5.29
1992,5.82
1993,5.78
1994,5.72
1995,5.77
1996,6.14
1997,6.15
1998,6.35
1999,5.62
2000,5.57
2001,5.91
2002,5.5
2003,5.75
2004,5.67
2005,5.54
2006,5.48
2007,6.62
2008,6.02
2009,5.65
2010,5.57
2011,5.46
2012,5.31
2013,5.62
2014,6.34
2015,6.23
2016,6.56
2017,5.97
2018,5.97
2019,5.92
2020,6.94
2021,6.57
2022,6.52
2023,7.11
