date,mean early autumn bottom oxygen concentration
1987,0.1
1988,0.01
1989,0.2
1990,0.2
1991,0.14
1992,0.13
1993,0.2
1994,0.16
1995,0.2
1996,0.2
1997,0.16
1998,0.2
1999,0.0
2000,0.2
2001,0.2
2002,0.22
2003,0.2
2004,0.25
2005,0.2
2006,0.55
2007,0.0
2008,0.0
2009,0.01
2010,0.2
2011,0.27
2012,0.2
2013,0.2
2014,0.3
2015,0.16
2016,0.1
2017,0.2
2018,0.16
2019,0.0
2020,0.0
