date,mean summer hypolimnetic oxygen concentration
1987,2.77
1988,2.37
1989,2.15
1990,1.79
1991,1.85
1992,1.91
1993,1.72
1994,1.95
1995,1.72
1996,2.0
1997,1.82
1998,1.8
1999,2.16
2000,2.29
2001,2.14
2002,1.12
2003,1.52
2004,1.9
2005,0.48
2006,3.09
2007,1.46
2008,1.79
2009,2.81
2010,3.42
2011,2.83
2012,3.04
2013,3.13
2014,2.25
2015,2.57
2016,1.76
2017,1.85
2018,2.27
2019,2.03
2020,1.81
2021,2.14
