date,mean annual Secchi depth
1987,4.39
1988,5.72
1989,7.34
1990,5.15
1991,6.78
1992,5.02
1993,5.71
1994,6.08
1995,5.04
1996,5.21
1997,6.94
1998,7.83
1999,5.62
2000,5.88
2001,5.99
2002,5.3
2003,6.55
2004,7.87
2005,8.18
2006,8.24
2007,7.61
2008,7.3
2009,7.81
2010,8.25
2011,6.56
2012,6.44
2014,6.01
2015,7.86
2016,6.02
2017,6.4
2018,8.24
2019,7.42
2020,5.35
2021,5.99
2022,6.94
2023,7.12
