date,mean winter bottom oxygen concentration
1987,0.2
1988,0.0
1989,0.01
1990,0.2
1991,0.2
1993,0.2
1994,0.2
1995,0.39
1996,0.35
1997,0.09
1998,0.2
1999,0.2
2000,0.2
2001,0.2
2002,0.2
2003,0.2
2004,0.2
2005,0.28
2006,0.29
2007,0.0
2008,0.0
2009,0.0
2010,0.11
2011,0.23
2012,0.2
2013,0.2
2014,0.3
2015,0.1
2016,0.1
2017,0.1
2018,0.09
2019,0.02
2020,0.08
