date,mean autumn bottom temperature
1987,5.57
1988,5.63
1989,5.52
1990,5.49
1991,5.59
1992,5.61
1993,5.53
1994,5.55
1995,5.6
1996,5.63
1997,5.69
1998,5.74
1999,5.76
2000,5.82
2001,5.88
2002,5.89
2003,5.9
2004,5.92
2005,5.61
2006,5.46
2007,5.52
2008,5.58
2009,5.65
2010,5.69
2011,5.72
2012,5.75
2013,5.76
2014,5.78
2015,5.79
2016,5.82
2017,5.85
2018,5.9
2019,5.93
2020,5.96
2021,6.01
2022,6.04
2023,6.08
