date,mean late autumn Schmidt stability
1987,9068.7
1988,8137.86
1989,10898.33
1990,10989.16
1991,8138.56
1992,8528.51
1993,7572.39
1994,10198.11
1995,10166.48
1996,8735.48
1997,11712.74
1998,8546.83
1999,8695.35
2000,7637.08
2001,9870.26
2002,8609.66
2003,7244.7
2004,10063.09
2005,11818.87
2006,11464.38
2007,9506.33
2008,9608.73
2009,9572.94
2010,9384.79
2011,10064.21
2012,10831.66
2013,10310.89
2014,13322.5
2015,13616.15
2016,11846.57
2017,11137.32
2018,12660.58
2019,14537.2
2020,11734.44
2021,11565.48
2022,14877.56
2023,13437.08
