date,mean spring epilimnion 0-5 m oxygen concentration
1987,12.2
1988,13.22
1989,13.19
1990,12.45
1991,13.27
1992,12.29
1993,11.53
1994,11.57
1995,11.4
1996,12.43
1997,10.15
1998,10.48
1999,12.46
2000,11.33
2001,11.72
2002,11.38
2003,11.83
2004,12.78
2005,10.26
2006,11.83
2007,13.16
2008,13.09
2009,12.05
2010,12.23
2011,12.32
2012,11.3
2013,11.29
2014,10.87
2015,11.14
2016,10.44
2017,11.23
2018,12.55
2019,9.85
2020,11.87
2021,11.2
2022,10.36
2023,10.62
