date,mean autumn Secchi depth
1987,2.99
1988,6.71
1989,8.2
1990,5.63
1991,5.48
1992,4.43
1993,5.63
1994,5.27
1995,3.95
1996,6.62
1997,5.95
1998,7.69
1999,2.92
2000,3.55
2001,3.84
2002,4.75
2003,7.12
2004,5.72
2005,8.16
2006,8.6
2007,6.47
2008,7.1
2009,6.8
2010,7.59
2011,5.54
2012,5.13
2014,5.64
2015,6.74
2016,7.01
2017,7.66
2018,6.95
2019,8.27
2020,5.55
2021,4.97
2022,6.32
2023,5.02
