date,mean late autumn hypolimnetic oxygen concentration
1987,2.22
1988,1.96
1989,1.73
1990,1.3
1991,1.4
1992,1.47
1993,1.82
1994,1.44
1995,1.47
1996,1.71
1997,1.26
1998,1.38
1999,1.55
2000,1.62
2001,1.14
2002,0.5
2003,1.06
2004,1.5
2005,0.31
2006,1.73
2007,0.91
2008,1.15
2009,2.25
2010,2.53
2011,3.42
2012,2.23
2013,2.44
2014,2.01
2015,1.63
2016,1.39
2017,1.43
2018,1.86
2019,1.5
2020,1.09
