date,mean annual bottom temperature
1987,5.56
1988,5.63
1989,5.5
1990,5.48
1991,5.54
1992,5.6
1993,5.57
1994,5.55
1995,5.58
1996,5.62
1997,5.67
1998,5.71
1999,5.76
2000,5.8
2001,5.85
2002,5.88
2003,5.9
2004,5.91
2005,5.64
2006,5.45
2007,5.49
2008,5.56
2009,5.63
2010,5.67
2011,5.71
2012,5.74
2013,5.75
2014,5.77
2015,5.79
2016,5.81
2017,5.84
2018,5.89
2019,5.92
2020,5.95
2021,5.99
2022,6.03
