date,mean late summer Secchi depth
1987,2.8
1988,2.91
1989,5.97
1990,3.55
1991,4.77
1992,5.26
1993,5.23
1994,4.41
1995,3.53
1996,5.17
1997,6.17
1998,3.61
1999,3.52
2000,3.9
2001,3.79
2002,6.52
2003,4.32
2004,5.77
2005,4.48
2006,5.65
2007,3.88
2008,3.11
2009,4.35
2010,3.43
2011,4.65
2012,3.94
2014,4.22
2015,8.47
2016,5.47
2017,2.8
2018,3.85
2019,6.66
2020,4.96
2021,3.51
2022,6.64
2023,5.97
