date,mean spring bottom temperature
1987,5.59
1988,5.66
1989,5.45
1990,5.48
1991,5.51
1992,5.59
1993,5.62
1994,5.54
1995,5.56
1996,5.61
1997,5.66
1998,5.69
1999,5.76
2000,5.79
2001,5.82
2002,5.87
2003,5.9
2004,5.91
2005,5.55
2006,5.4
2007,5.48
2008,5.55
2009,5.61
2010,5.66
2011,5.7
2012,5.74
2013,5.75
2014,5.76
2015,5.78
2016,5.81
2017,5.83
2018,5.88
2019,5.91
2020,5.95
2021,5.98
2022,6.02
2023,6.04
