date,mean annual surface conductivity
1988,213.57
1989,221.08
1990,215.16
1991,228.11
1992,223.98
1993,231.5
1994,209.04
1995,214.15
1996,211.89
1997,223.31
1998,213.94
1999,217.24
2000,213.86
2001,210.41
2002,216.22
2003,225.53
2004,232.55
2005,237.37
2006,244.81
2007,233.54
2008,221.98
2009,221.66
2010,225.6
2011,224.48
2012,228.48
2013,231.84
2014,224.41
2015,230.44
2016,221.76
2017,222.96
2018,233.95
2019,241.96
2020,227.15
2021,228.06
2022,232.61
2023,220.39
