date,mean summer thermocline depth
1987,6.62
1988,9.14
1989,9.25
1990,10.46
1991,10.11
1992,9.46
1993,9.17
1994,9.9
1995,7.64
1996,9.98
1997,10.85
1998,9.07
1999,9.68
2000,9.28
2001,9.89
2002,7.78
2003,9.08
2004,11.1
2005,9.8
2006,8.62
2007,10.48
2008,8.06
2009,10.6
2010,9.35
2011,11.63
2012,9.49
2013,8.66
2014,10.31
2015,9.55
2016,11.97
2017,11.34
2018,9.96
2019,10.09
2020,10.39
2021,10.33
2022,10.27
