date,mean autumn hypolimnetic density
1987,1000.1173
1988,1000.1286
1989,1000.1265
1990,1000.1233
1991,1000.1302
1992,1000.1235
1993,1000.1332
1994,1000.1152
1995,1000.1101
1996,1000.1149
1997,1000.1074
1998,1000.1083
1999,1000.1145
2000,1000.1182
2001,1000.1145
2002,1000.1146
2003,1000.1142
2004,1000.1168
2005,1000.1214
2006,1000.1254
2007,1000.1207
2008,1000.1172
2009,1000.1189
2010,1000.1197
2011,1000.1222
2012,1000.1204
2013,1000.1246
2014,1000.1205
2015,1000.1179
2016,1000.1142
2017,1000.1145
2018,1000.1215
2019,1000.1142
2020,1000.1125
