date,mean summer bottom temperature
1987,5.56
1988,5.61
1989,5.51
1990,5.46
1991,5.49
1992,5.59
1993,5.52
1994,5.54
1995,5.56
1996,5.62
1997,5.68
1998,5.71
1999,5.75
2000,5.8
2001,5.86
2002,5.88
2003,5.9
2004,5.92
2005,5.6
2006,5.43
2007,5.49
2008,5.57
2009,5.62
2010,5.67
2011,5.71
2012,5.74
2013,5.75
2014,5.77
2015,5.79
2016,5.81
2017,5.84
2018,5.89
2019,5.92
2020,5.95
2021,5.98
2022,6.03
