date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1988,35.0
1989,59.0
1990,37.0
1991,81.0
1992,63.0
1993,73.0
1994,48.0
1995,49.0
1996,54.0
1997,42.0
1998,54.0
1999,107.0
2000,151.0
2001,47.0
2002,127.0
2003,86.0
2004,166.0
2005,266.0
2006,284.0
2007,36.0
2008,62.0
2009,109.0
2010,146.0
2011,98.0
2012,238.0
2013,58.0
2014,37.0
2015,53.0
2016,39.0
2017,80.0
2018,68.0
2019,64.0
2020,36.0
2021,46.0
