date,mean winter surface temperature
1987,5.12
1988,6.5
1989,5.58
1990,6.06
1991,5.73
1993,6.36
1994,5.99
1995,6.4
1996,6.77
1997,6.4
1998,7.07
1999,6.19
2000,5.71
2001,6.45
2002,5.63
2003,6.86
2004,6.2
2005,6.09
2006,5.68
2007,7.34
2008,6.37
2009,6.1
2010,6.01
2011,5.84
2012,6.27
2013,6.51
2014,6.82
2015,7.41
2016,7.18
2017,6.37
2018,6.48
2019,6.4
2020,7.6
2021,6.86
2022,6.93
2023,7.85
