date,mean summer Schmidt stability
1987,18587.11
1988,18822.79
1989,22946.36
1990,26584.65
1991,24774.17
1992,21173.26
1993,21089.2
1994,27095.24
1995,21410.41
1996,21124.69
1997,21387.25
1998,28102.25
1999,24867.01
2000,19624.23
2001,22918.17
2002,20779.26
2003,27742.75
2004,27031.44
2005,26901.77
2006,27215.54
2007,26887.91
2008,20660.11
2009,26771.83
2010,26948.31
2011,23559.77
2012,27310.76
2013,28098.07
2014,24583.06
2015,32481.34
2016,29057.45
2017,33676.29
2018,27839.23
2019,33950.04
2020,30249.05
2021,28989.91
2022,35087.13
