date,mean annual heat content
1987,4257015945.71
1988,4358582203.43
1989,4436232841.39
1990,4514104672.72
1991,4458941390.81
1992,4565999149.16
1993,4427076143.06
1994,4490609309.89
1995,4550761095.36
1996,4579768551.48
1997,4767632724.84
1998,4742386096.78
1999,4628530861.16
2000,4531295131.24
2001,4628205211.03
2002,4600614711.98
2003,4662248027.12
2004,4661750684.71
2005,4550942586.64
2006,4424539043.17
2007,4587341639.71
2008,4554164497.02
2009,4611311680.25
2010,4545108571.85
2011,4588034277.42
2012,4576354198.05
2013,4572457933.0
2014,4731155073.74
2015,4813094449.6
2016,4883345023.07
2017,4841005183.04
2018,4771185615.98
2019,4881881101.7
2020,4922119809.22
2021,4944471888.21
2022,5044818418.7
