date,mean winter Schmidt stability
1987,-339.74
1988,720.97
1989,84.1
1990,538.69
1991,310.03
1993,841.21
1994,529.31
1995,804.49
1996,1546.46
1997,1041.78
1998,2082.92
1999,731.44
2000,-104.65
2001,601.97
2002,-227.9
2003,1295.03
2004,306.18
2005,193.61
2006,64.26
2007,1949.25
2008,1051.77
2009,730.31
2010,477.92
2011,18.43
2012,533.16
2013,800.11
2014,1245.38
2015,2260.45
2016,1972.16
2017,917.02
2018,825.14
2019,711.4
2020,2346.34
2021,1432.74
2022,1155.13
2023,2680.44
