date,mean early autumn thermocline depth
1987,10.57
1988,11.95
1989,13.19
1990,13.14
1991,12.24
1992,12.92
1993,12.56
1994,12.75
1995,14.86
1996,12.04
1997,11.71
1998,12.41
1999,12.87
2000,11.83
2001,12.56
2002,11.63
2003,11.28
2004,11.69
2005,12.42
2006,12.74
2007,13.65
2008,11.35
2009,11.73
2010,13.08
2011,11.22
2012,12.5
2013,11.87
2014,13.59
2015,13.16
2016,13.8
2017,15.67
2018,12.06
2019,12.87
2020,12.4
2021,12.66
2022,13.56
2023,13.25
