date,mean winter epilimnion 0-5 m oxygen concentration
1987,8.23
1988,7.99
1989,8.04
1990,8.86
1991,7.82
1993,9.26
1994,8.88
1995,7.83
1996,8.49
1997,8.51
1998,8.06
1999,7.82
2000,5.87
2001,9.08
2002,6.88
2003,7.45
2004,7.64
2005,7.8
2006,5.3
2007,8.25
2008,7.91
2009,7.98
2010,8.27
2011,9.2
2012,9.22
2013,9.14
2014,8.84
2015,9.88
2016,8.7
2017,7.18
2018,9.66
2019,8.52
2020,8.34
2021,8.96
2022,8.96
2023,8.96
