date,mean spring Schmidt stability
1987,861.94
1988,2323.89
1989,2698.55
1990,3642.95
1991,2415.3
1992,2638.65
1993,2924.46
1994,3447.64
1995,3050.21
1996,3036.03
1997,5044.55
1998,3785.5
1999,2874.91
2000,2038.57
2001,3031.38
2002,2591.26
2003,2728.54
2004,2485.24
2005,3210.89
2006,3326.7
2007,7058.81
2008,4462.52
2009,3532.15
2010,2435.98
2011,5448.0
2012,2484.57
2013,2482.26
2014,5691.68
2015,4717.95
2016,6258.03
2017,6570.61
2018,4143.97
2019,3844.89
2020,5683.74
2021,4318.76
2022,5368.5
2023,6051.61
