date,mean spring Secchi depth
1987,3.54
1988,4.52
1989,3.39
1990,3.0
1991,2.51
1992,4.18
1993,3.86
1994,6.42
1995,4.84
1996,4.41
1997,5.77
1998,8.33
1999,6.34
2000,4.75
2001,5.86
2002,4.99
2003,3.01
2004,4.1
2005,3.67
2006,3.08
2007,5.71
2008,4.85
2009,6.58
2010,6.14
2011,8.18
2012,4.98
2014,8.18
2015,10.42
2016,8.08
2017,5.36
2018,6.77
2019,6.7
2020,4.4
2021,4.67
2022,3.9
2023,7.18
