date,mean winter bottom temperature
1987,5.49
1988,5.59
1989,5.53
1990,5.5
1991,5.51
1993,5.62
1994,5.54
1995,5.56
1996,5.61
1997,5.62
1998,5.7
1999,5.74
2000,5.78
2001,5.82
2002,5.87
2003,5.89
2004,5.91
2005,5.92
2006,5.63
2007,5.47
2008,5.53
2009,5.6
2010,5.65
2011,5.7
2012,5.73
2013,5.76
2014,5.76
2015,5.78
2016,5.81
2017,5.83
2018,5.88
2019,5.9
2020,5.94
2021,5.97
2022,6.02
2023,6.04
